Economy,Year,GDP,Population
01_AUS,2017,1157.283926,24.451
01_AUS,2018,1201.142573,24.772
01_AUS,2019,1245.039044,25.089
01_AUS,2020,1289.224526,25.398
01_AUS,2021,1333.639686,25.7
01_AUS,2022,1378.646228,25.996
01_AUS,2023,1424.442629,26.287
01_AUS,2024,1471.20582,26.573
01_AUS,2025,1519.006309,26.857
01_AUS,2026,1566.859653,27.139
01_AUS,2027,1615.958599,27.418
01_AUS,2028,1666.222278,27.693
01_AUS,2029,1717.419964,27.966
01_AUS,2030,1769.393796,28.234
01_AUS,2031,1821.332122,28.5
01_AUS,2032,1874.054169,28.76
01_AUS,2033,1927.569372,29.018
01_AUS,2034,1981.931991,29.273
01_AUS,2035,2037.127705,29.527
01_AUS,2036,2091.895589,29.777
01_AUS,2037,2147.448007,30.026
01_AUS,2038,2203.751837,30.273
01_AUS,2039,2260.727484,30.52
01_AUS,2040,2318.290528,30.764
01_AUS,2041,2375.138639,31.009
01_AUS,2042,2432.794114,31.253
01_AUS,2043,2491.262884,31.496
01_AUS,2044,2550.592656,31.739
01_AUS,2045,2610.851825,31.982
01_AUS,2046,2670.775153,32.225
01_AUS,2047,2731.887132,32.468
01_AUS,2048,2794.170024,32.71
01_AUS,2049,2857.579294,32.95
01_AUS,2050,2922.072575,33.187
02_BD,2017,32.43736558,0.429
02_BD,2018,33.06990745,0.434
02_BD,2019,33.6765174,0.439
02_BD,2020,34.25948149,0.445
02_BD,2021,34.7613324,0.45
02_BD,2022,35.25930322,0.455
02_BD,2023,35.74498418,0.459
02_BD,2024,36.21604656,0.464
02_BD,2025,36.67080537,0.469
02_BD,2026,37.06793878,0.473
02_BD,2027,37.46276767,0.478
02_BD,2028,37.85801066,0.482
02_BD,2029,38.25590743,0.486
02_BD,2030,38.65420046,0.49
02_BD,2031,38.9798883,0.494
02_BD,2032,39.31756879,0.497
02_BD,2033,39.66354889,0.5
02_BD,2034,40.01831814,0.504
02_BD,2035,40.37763015,0.507
02_BD,2036,40.67279156,0.509
02_BD,2037,40.98266035,0.513
02_BD,2038,41.30388234,0.515
02_BD,2039,41.63187599,0.518
02_BD,2040,41.96499216,0.52
02_BD,2041,42.23176756,0.522
02_BD,2042,42.51137821,0.524
02_BD,2043,42.80047205,0.526
02_BD,2044,43.10018975,0.528
02_BD,2045,43.40773233,0.53
02_BD,2046,43.64478505,0.532
02_BD,2047,43.89495617,0.533
02_BD,2048,44.15660231,0.535
02_BD,2049,44.43225067,0.535
02_BD,2050,44.71449341,0.537
03_CDA,2017,1702.56112,36.624
03_CDA,2018,1736.225571,36.954
03_CDA,2019,1771.168763,37.28
03_CDA,2020,1807.36286,37.604
03_CDA,2021,1844.71246,37.924
03_CDA,2022,1883.170718,38.242
03_CDA,2023,1922.752078,38.556
03_CDA,2024,1963.133817,38.868
03_CDA,2025,2004.109568,39.173
03_CDA,2026,2045.710589,39.473
03_CDA,2027,2087.986905,39.769
03_CDA,2028,2130.945077,40.059
03_CDA,2029,2174.536544,40.342
03_CDA,2030,2218.71007,40.618
03_CDA,2031,2263.425517,40.886
03_CDA,2032,2308.694906,41.147
03_CDA,2033,2354.538825,41.401
03_CDA,2034,2400.973842,41.647
03_CDA,2035,2448.001199,41.888
03_CDA,2036,2495.626479,42.123
03_CDA,2037,2543.873074,42.351
03_CDA,2038,2592.766017,42.574
03_CDA,2039,2642.312764,42.792
03_CDA,2040,2692.521059,43.005
03_CDA,2041,2743.424646,43.213
03_CDA,2042,2795.096455,43.417
03_CDA,2043,2847.594538,43.619
03_CDA,2044,2900.951807,43.816
03_CDA,2045,2955.183143,44.011
03_CDA,2046,3010.304987,44.204
03_CDA,2047,3066.353016,44.395
03_CDA,2048,3123.34048,44.583
03_CDA,2049,3181.260928,44.768
03_CDA,2050,3240.094122,44.949
04_CHL,2017,433.1239066,18.055
04_CHL,2018,457.4892747,18.197
04_CHL,2019,482.2439331,18.336
04_CHL,2020,507.1911638,18.472
04_CHL,2021,532.1832779,18.605
04_CHL,2022,557.0930074,18.734
04_CHL,2023,581.8188688,18.859
04_CHL,2024,606.2988797,18.98
04_CHL,2025,630.5043574,19.099
04_CHL,2026,654.4351009,19.214
04_CHL,2027,678.1107657,19.327
04_CHL,2028,701.5592257,19.435
04_CHL,2029,724.8162389,19.538
04_CHL,2030,747.9239886,19.638
04_CHL,2031,770.9288786,19.731
04_CHL,2032,793.8797906,19.82
04_CHL,2033,816.8236113,19.903
04_CHL,2034,839.806564,19.983
04_CHL,2035,862.8703395,20.059
04_CHL,2036,886.0498811,20.131
04_CHL,2037,909.3751705,20.199
04_CHL,2038,932.8651206,20.263
04_CHL,2039,956.5234499,20.322
04_CHL,2040,980.3417883,20.378
04_CHL,2041,1004.308061,20.431
04_CHL,2042,1028.412733,20.479
04_CHL,2043,1052.638806,20.523
04_CHL,2044,1076.959404,20.562
04_CHL,2045,1101.337868,20.598
04_CHL,2046,1125.734717,20.63
04_CHL,2047,1150.114767,20.657
04_CHL,2048,1174.440897,20.682
